x_m,intensity_norm,target
-0.0018,1.85641658133696e-12,0
-0.0017975,7.36323135559328e-13,0
-0.001795,3.85468478369958e-13,0
-0.0017925,7.54323524360789e-13,0
-0.00179,1.25630853080896e-12,0
-0.0017875,1.31117011530963e-12,0
-0.001785,8.29351925831364e-13,0
-0.0017825,2.27663407116222e-13,0
-0.00178,2.3412244389859e-15,0
-0.0017775,2.74243547588395e-13,0
-0.001775,7.14797181180196e-13,0
-0.0017725,8.86775702852034e-13,0
-0.00177,6.53243614937325e-13,0
-0.0017675,2.71303361079629e-13,0
-0.001765,1.08638745852426e-13,0
-0.0017625,2.7975231333202e-13,0
-0.00176,5.55448573614167e-13,0
-0.0017575,6.15630804169568e-13,0
-0.001755,3.79168389383483e-13,0
-0.0017525,8.12480008199611e-14,0
-0.00175,2.90372419606555e-14,0
-0.0017475,2.86768480941757e-13,0
-0.001745,6.07114676999253e-13,0
-0.0017425,6.7787606147925e-13,0
-0.00174,4.39290771801541e-13,0
-0.0017375,1.55831184465952e-13,0
-0.001735,1.65448849093173e-13,0
-0.0017325,5.44634797735467e-13,0
-0.00173,1.01329077178041e-12,0
-0.0017275,1.17749932911457e-12,0
-0.001725,8.88618379360362e-13,0
-0.0017225,3.87680372197298e-13,0
-0.00172,1.04108702696893e-13,0
-0.0017175,2.93336343028562e-13,0
-0.001715,8.34077991670502e-13,0
-0.0017125,1.34721772176391e-12,0
-0.00171,1.50730057152443e-12,0
-0.0017075,1.26745582843895e-12,0
-0.001705,8.30660229658332e-13,0
-0.0017025,4.43250491056823e-13,0
-0.0017,2.2229267043323e-13,0
-0.0016975,1.47747518525912e-13,0
-0.001695,1.64728349506285e-13,0
-0.0016925,2.49982417189777e-13,0
-0.00169,3.78578537964099e-13,0
-0.0016875,4.69307880874871e-13,0
-0.001685,4.20235748570676e-13,0
-0.0016825,2.29683870768709e-13,0
-0.00168,6.72155255203675e-14,0
-0.0016775,1.74940259305047e-13,0
-0.001675,6.47633535561345e-13,0
-0.0016725,1.29194972534175e-12,0
-0.00167,1.72741158834809e-12,0
-0.0016675,1.67603241622613e-12,0
-0.001665,1.1949852765151e-12,0
-0.0016625,6.35844103969616e-13,0
-0.00166,3.54870775523586e-13,0
-0.0016575,4.2947859495476e-13,0
-0.001655,6.32522411468206e-13,0
-0.0016525,6.75369919909896e-13,0
-0.00165,4.81053059297445e-13,0
-0.0016475,2.30511468215146e-13,0
-0.001645,1.53906804501156e-13,0
-0.0016425,2.88585907630687e-13,0
-0.00164,4.49186469604014e-13,0
-0.0016375,4.32729189856714e-13,0
-0.001635,2.39008972219753e-13,0
-0.0016325,7.17089076286817e-14,0
-0.00163,1.15629201786962e-13,0
-0.0016275,3.25469350541032e-13,0
-0.001625,4.60132298787746e-13,0
-0.0016225,3.44445913582218e-13,0
-0.00162,9.01453422791737e-14,0
-0.0016175,2.48296269719862e-14,0
-0.001615,3.6463829923666e-13,0
-0.0016125,9.45745834691585e-13,0
-0.00161,1.30993770148333e-12,0
-0.0016075,1.11251741955218e-12,0
-0.001605,4.89884103184216e-13,0
-0.0016025,2.01266423882868e-14,0
-0.0016,2.63814326095835e-13,0
-0.0015975,1.26680389364523e-12,0
-0.001595,2.46838384786102e-12,0
-0.0015925,3.11370349862458e-12,0
-0.00159,2.82671753402362e-12,0
-0.0015875,1.86319882439845e-12,0
-0.001585,8.54482620478395e-13,0
-0.0015825,2.97743210702147e-13,0
-0.00158,2.4026859175925e-13,0
-0.0015775,3.86045225865689e-13,0
-0.001575,4.53456034239872e-13,0
-0.0015725,4.16209745027818e-13,0
-0.00157,4.29830731269892e-13,0
-0.0015675,5.83440134588819e-13,0
-0.001565,7.73732054078938e-13,0
-0.0015625,8.32071366303888e-13,0
-0.00156,7.41824132152701e-13,0
-0.0015575,6.81284312314249e-13,0
-0.001555,8.25519889262252e-13,0
-0.0015525,1.12143397452646e-12,0
-0.00155,1.3026004872191e-12,0
-0.0015475,1.16147156080185e-12,0
-0.001545,8.01988560359585e-13,0
-0.0015425,5.80140196146404e-13,0
-0.00154,7.49683640759787e-13,0
-0.0015375,1.16076973356579e-12,0
-0.001535,1.35312371413104e-12,0
-0.0015325,1.00921948567251e-12,0
-0.00153,3.42888806165714e-13,0
-0.0015275,3.56947725446437e-15,0
-0.001525,5.16076790060559e-13,0
-0.0015225,1.7472089448833e-12,0
-0.00152,2.92069626400675e-12,0
-0.0015175,3.22143676477157e-12,0
-0.001515,2.47241838204191e-12,0
-0.0015125,1.27194110852288e-12,0
-0.00151,4.61271431240177e-13,0
-0.0015075,4.11549505790049e-13,0
-0.001505,7.82619971234547e-13,0
-0.0015025,9.49898661667186e-13,0
-0.0015,6.5413527609551e-13,0
-0.0014975,2.27397129525648e-13,0
-0.001495,1.87330955714207e-13,0
-0.0014925,6.37788818977956e-13,0
-0.00149,1.11740445250475e-12,0
-0.0014875,1.08007234725652e-12,0
-0.001485,5.21872585836222e-13,0
-0.0014825,7.47898324907195e-14,0
-0.00148,4.01264021175938e-13,0
-0.0014775,1.4588479722017e-12,0
-0.001475,2.40996232090898e-12,0
-0.0014725,2.36530015514043e-12,0
-0.00147,1.30235157947433e-12,0
-0.0014675,2.37867863339611e-13,0
-0.001465,3.80023975795502e-13,0
-0.0014625,1.97733711714529e-12,0
-0.00146,3.95775252814428e-12,0
-0.0014575,4.78557899106869e-12,0
-0.001455,3.82448883856768e-12,0
-0.0014525,1.95653637914316e-12,0
-0.00145,8.32691371427817e-13,0
-0.0014475,1.38966498511475e-12,0
-0.001445,2.98906347823374e-12,0
-0.0014425,4.00284315782437e-12,0
-0.00144,3.33592644857804e-12,0
-0.0014375,1.47952947681874e-12,0
-0.001435,9.42332359317474e-14,0
-0.0014325,4.83929042076867e-13,0
-0.00143,2.372879548436e-12,0
-0.0014275,4.1340966746555e-12,0
-0.001425,4.2640946704987e-12,0
-0.0014225,2.72583554053367e-12,0
-0.00142,9.07652546346124e-13,0
-0.0014175,2.64473848752901e-13,0
-0.001415,9.65722656573135e-13,0
-0.0014125,1.85848415368201e-12,0
-0.00141,1.76460527853376e-12,0
-0.0014075,8.04598716579488e-13,0
-0.001405,3.80995143121934e-13,0
-0.0014025,1.75645101899361e-12,0
-0.0014,4.58950321650098e-12,0
-0.0013975,6.93548076742724e-12,0
-0.001395,6.87343528279713e-12,0
-0.0013925,4.32388978312289e-12,0
-0.00139,1.32047999204121e-12,0
-0.0013875,3.53900143611116e-13,0
-0.001385,2.20311991205868e-12,0
-0.0013825,5.21775032388645e-12,0
-0.00138,6.74963527697709e-12,0
-0.0013775,5.47959300736392e-12,0
-0.001375,2.54971108578082e-12,0
-0.0013725,4.8778851198595e-13,0
-0.00137,9.22034790905275e-13,0
-0.0013675,3.1752820448699e-12,0
-0.001365,4.99157265696009e-12,0
-0.0013625,4.66934921053776e-12,0
-0.00136,2.59884273521636e-12,0
-0.0013575,8.0288988824463e-13,0
-0.001355,9.72007062754848e-13,0
-0.0013525,2.87838775678193e-12,0
-0.00135,4.65176162726106e-12,0
-0.0013475,4.61038236900008e-12,0
-0.001345,2.87301899346641e-12,0
-0.0013425,1.2160176462887e-12,0
-0.00134,1.33443866996607e-12,0
-0.0013375,3.19001991791339e-12,0
-0.001335,5.03303953662387e-12,0
-0.0013325,5.07560591733415e-12,0
-0.00133,3.21533752332643e-12,0
-0.0013275,1.16329066893629e-12,0
-0.001325,8.50380151314627e-13,0
-0.0013225,2.61712901985108e-12,0
-0.00132,4.88661329214645e-12,0
-0.0013175,5.61143544258703e-12,0
-0.001315,4.12376145231983e-12,0
-0.0013125,1.67219751163544e-12,0
-0.00131,1.98549428992132e-13,0
-0.0013075,5.59174652245483e-13,0
-0.001305,1.8650748689962e-12,0
-0.0013025,2.4945306434597e-12,0
-0.0013,1.73041514162321e-12,0
-0.0012975,4.25187890214256e-13,0
-0.001295,8.89904667662051e-14,0
-0.0012925,1.33574247491457e-12,0
-0.00129,3.21920426204672e-12,0
-0.0012875,4.09861165708816e-12,0
-0.001285,3.18638836722025e-12,0
-0.0012825,1.2899597446833e-12,0
-0.00128,5.73852588400275e-14,0
-0.0012775,4.70084145324323e-13,0
-0.001275,2.00856500892993e-12,0
-0.0012725,3.22543399281519e-12,0
-0.00127,3.1071681649382e-12,0
-0.0012675,1.9096452530757e-12,0
-0.001265,7.4339792373221e-13,0
-0.0012625,4.26176210942919e-13,0
-0.00126,7.77395763254588e-13,0
-0.0012575,9.96039375148601e-13,0
-0.001255,6.32422824368388e-13,0
-0.0012525,9.28178884551864e-14,0
-0.00125,1.56167180268923e-13,0
-0.0012475,1.0450937530236e-12,0
-0.001245,2.07145918322313e-12,0
-0.0012425,2.2779228350301e-12,0
-0.00124,1.44192467476667e-12,0
-0.0012375,3.92298292174921e-13,0
-0.001235,2.58599372451964e-13,0
-0.0012325,1.36259585326972e-12,0
-0.00123,2.85793034252015e-12,0
-0.0012275,3.50227688176438e-12,0
-0.001225,2.81625387902709e-12,0
-0.0012225,1.48731299207034e-12,0
-0.00122,6.31849601034304e-13,0
-0.0012175,6.84932967059253e-13,0
-0.001215,1.0674333331823e-12,0
-0.0012125,9.7577629474532e-13,0
-0.00121,4.50634250677265e-13,0
-0.0012075,5.34190414307136e-13,0
-0.001205,2.22634784689952e-12,0
-0.0012025,5.22890061267518e-12,0
-0.0012,7.81275811883458e-12,0
-0.0011975,8.12794309479345e-12,0
-0.001195,5.83862460383941e-12,0
-0.0011925,2.53386369853398e-12,0
-0.00119,4.38895797872163e-13,0
-0.0011875,5.53652382958738e-13,0
-0.001185,1.92520612503562e-12,0
-0.0011825,2.71278132259315e-12,0
-0.00118,2.00162202763016e-12,0
-0.0011775,6.11028577821469e-13,0
-0.001175,1.3614219877544e-13,0
-0.0011725,1.213277473718e-12,0
-0.00117,2.7858241966373e-12,0
-0.0011675,3.16572134189026e-12,0
-0.001165,1.86774411205175e-12,0
-0.0011625,3.38931904730011e-13,0
-0.00116,7.15243837348319e-13,0
-0.0011575,3.68661717835701e-12,0
-0.001155,7.53759876478292e-12,0
-0.0011525,9.42232626967309e-12,0
-0.00115,7.82325889031556e-12,0
-0.0011475,3.94516431537685e-12,0
-0.001145,7.09457072071585e-13,0
-0.0011425,2.29591778173358e-13,0
-0.00114,2.07598285254403e-12,0
-0.0011375,3.90149566948922e-12,0
-0.001135,3.77587997610996e-12,0
-0.0011325,1.98271772215125e-12,0
-0.00113,5.9042539837399e-13,0
-0.0011275,1.27902103445525e-12,0
-0.001125,3.58923493904821e-12,0
