y_m,intensity_norm,target
-0.0024025,3.67468833499176e-13,0
-0.0024,9.06766242384848e-13,0
-0.0023975,1.40505363586127e-12,0
-0.002395,1.58464998150769e-12,0
-0.0023925,1.35304089718827e-12,0
-0.00239,8.56114112364928e-13,0
-0.0023875,3.6493394383198e-13,0
-0.002385,8.94508491314517e-14,0
-0.0023825,6.05139911773842e-14,0
-0.00238,1.55388037176251e-13,0
-0.0023775,2.23616946304657e-13,0
-0.002375,2.00476666926261e-13,0
-0.0023725,1.2590035624803e-13,0
-0.00237,7.92617349121895e-14,0
-0.0023675,1.07516170026162e-13,0
-0.002365,2.11056671593435e-13,0
-0.0023625,3.81764029760595e-13,0
-0.00236,6.34316383068377e-13,0
-0.0023575,9.85450620110045e-13,0
-0.002355,1.39828754900453e-12,0
-0.0023525,1.75455176150145e-12,0
-0.00235,1.899237693576e-12,0
-0.0023475,1.73615179794351e-12,0
-0.002345,1.30146017241047e-12,0
-0.0023425,7.54541130555779e-13,0
-0.00234,2.90531887430867e-13,0
-0.0023375,3.90167153402818e-14,0
-0.002335,1.77904121631552e-14,0
-0.0023325,1.60898380060402e-13,0
-0.00233,3.83491914208866e-13,0
-0.0023275,6.29145807221877e-13,0
-0.002325,8.73843134585275e-13,0
-0.0023225,1.10139061331249e-12,0
-0.00232,1.28174489728573e-12,0
-0.0023175,1.37049136718966e-12,0
-0.002315,1.32604974055898e-12,0
-0.0023125,1.13219611863818e-12,0
-0.00231,8.17092706392761e-13,0
-0.0023075,4.62230865397727e-13,0
-0.002305,1.90374586706636e-13,0
-0.0023025,1.22889026476207e-13,0
-0.0023,3.15985622075347e-13,0
-0.0022975,7.12595997506243e-13,0
-0.002295,1.1525468320124e-12,0
-0.0022925,1.45014130376486e-12,0
-0.00229,1.49476678743327e-12,0
-0.0022875,1.30411942562143e-12,0
-0.002285,9.91884096888376e-13,0
-0.0022825,6.80485935139062e-13,0
-0.00228,4.33782502593e-13,0
-0.0022775,2.60532962855052e-13,0
-0.002275,1.67292279097443e-13,0
-0.0022725,1.89412921121927e-13,0
-0.00227,3.54415153726555e-13,0
-0.0022675,6.12044460890765e-13,0
-0.002265,8.18054742434855e-13,0
-0.0022625,8.20577179505803e-13,0
-0.00226,5.93689374121861e-13,0
-0.0022575,2.92853371974475e-13,0
-0.002255,1.53654255822706e-13,0
-0.0022525,2.94528656013479e-13,0
-0.00225,5.92463745900026e-13,0
-0.0022475,7.6408283755463e-13,0
-0.002245,6.13445761504252e-13,0
-0.0022425,2.44676017648457e-13,0
-0.00224,3.72579012719677e-14,0
-0.0022375,3.66711482118338e-13,0
-0.002235,1.27707233050992e-12,0
-0.0022325,2.37768213813358e-12,0
-0.00223,3.07308375960226e-12,0
-0.0022275,2.96727257054407e-12,0
-0.002225,2.13563826865339e-12,0
-0.0022225,1.05815596096212e-12,0
-0.00222,2.74761176245623e-13,0
-0.0022175,3.55462970019518e-14,0
-0.002215,2.0210061022377e-13,0
-0.0022125,4.37042038866603e-13,0
-0.00221,4.91096855636957e-13,0
-0.0022075,3.5016992176679e-13,0
-0.002205,1.59561450326386e-13,0
-0.0022025,4.4295160975745e-14,0
-0.0022,1.20308210523775e-14,0
-0.0021975,1.34941836915325e-14,0
-0.002195,6.68056051044253e-14,0
-0.0021925,2.9162961287346e-13,0
-0.00219,7.98678623967308e-13,0
-0.0021875,1.53586626009783e-12,0
-0.002185,2.24968589887984e-12,0
-0.0021825,2.62243036948647e-12,0
-0.00218,2.48494445228917e-12,0
-0.0021775,1.93145666385822e-12,0
-0.002175,1.24452318864708e-12,0
-0.0021725,6.97842946692324e-13,0
-0.00217,3.98520005713973e-13,0
-0.0021675,2.80673235198843e-13,0
-0.002165,2.24220131645639e-13,0
-0.0021625,1.74865842468914e-13,0
-0.00216,1.64166904523495e-13,0
-0.0021575,2.36057221911596e-13,0
-0.002155,3.7057295176779e-13,0
-0.0021525,4.83242823474819e-13,0
-0.00215,4.94472640945959e-13,0
-0.0021475,3.95792109525003e-13,0
-0.002145,2.50689309041378e-13,0
-0.0021425,1.36403764816907e-13,0
-0.00214,8.63053208065245e-14,0
-0.0021375,8.16305305423586e-14,0
-0.002135,8.66085189571093e-14,0
-0.0021325,8.28346577494647e-14,0
-0.00213,7.20158550116483e-14,0
-0.0021275,5.78007414144079e-14,0
-0.002125,3.75886709716081e-14,0
-0.0021225,1.44012040569025e-14,0
-0.00212,6.97449434266638e-15,0
-0.0021175,3.51095902222758e-14,0
-0.002115,9.05279463756149e-14,0
-0.0021125,1.30443196396673e-13,0
-0.00211,1.1387213341239e-13,0
-0.0021075,5.14898008067892e-14,0
-0.002105,1.31764932477119e-14,0
-0.0021025,7.13118482526159e-14,0
-0.0021,2.25900185115098e-13,0
-0.0020975,3.88606677496167e-13,0
-0.002095,4.54551332547795e-13,0
-0.0020925,4.02042257093225e-13,0
-0.00209,3.20903577129831e-13,0
-0.0020875,3.2993623447592e-13,0
-0.002085,4.54475581469617e-13,0
-0.0020825,5.86541000668084e-13,0
-0.00208,5.80586048351119e-13,0
-0.0020775,4.0388238639271e-13,0
-0.002075,1.92933967445087e-13,0
-0.0020725,1.4431147533103e-13,0
-0.00207,3.28761352845279e-13,0
-0.0020675,6.07549043468652e-13,0
-0.002065,7.49700066352182e-13,0
-0.0020625,6.58989820735937e-13,0
-0.00206,4.97665101590793e-13,0
-0.0020575,5.68560774140728e-13,0
-0.002055,1.03611182901603e-12,0
-0.0020525,1.73145450355407e-12,0
-0.00205,2.23417942359839e-12,0
-0.0020475,2.18568590079498e-12,0
