x_m,intensity_norm,target
-0.00139,3.27158880324408e-12,0
-0.0013875,4.23322109099445e-13,0
-0.001385,2.20073137142011e-12,0
-0.0013825,6.76902512178545e-12,0
-0.00138,1.00947853849411e-11,0
-0.0013775,9.34953350171406e-12,0
-0.001375,5.20534999054241e-12,0
-0.0013725,1.08741723650388e-12,0
-0.00137,1.32250337791372e-13,0
-0.0013675,2.5649337233197e-12,0
-0.001365,5.7356309964514e-12,0
-0.0013625,6.6331796695987e-12,0
-0.00136,4.53186722145414e-12,0
-0.0013575,1.43548169739209e-12,0
-0.001355,6.54754284971767e-14,0
-0.0013525,1.34771023098066e-12,0
-0.00135,3.69783126538001e-12,0
-0.0013475,4.65834691023126e-12,0
-0.001345,3.27101384352709e-12,0
-0.0013425,9.62972795282647e-13,0
-0.00134,1.72550687417204e-13,0
-0.0013375,2.04290663854127e-12,0
-0.001335,5.32767972700393e-12,0
-0.0013325,7.48564722618442e-12,0
-0.00133,6.92495234712138e-12,0
-0.0013275,4.35307018538476e-12,0
-0.001325,2.06467900988868e-12,0
-0.0013225,1.88597398780562e-12,0
-0.00132,3.64870553046459e-12,0
-0.0013175,5.49333154617346e-12,0
-0.001315,5.60798185664778e-12,0
-0.0013125,3.77697999726808e-12,0
-0.00131,1.40772805432417e-12,0
-0.0013075,1.55736357233441e-13,0
-0.001305,4.92455593201149e-13,0
-0.0013025,1.48310234643828e-12,0
-0.0013,1.83977445667675e-12,0
-0.0012975,1.16497924829382e-12,0
-0.001295,2.34288564546249e-13,0
-0.0012925,1.48570057074069e-13,0
-0.00129,1.23354448876568e-12,0
-0.0012875,2.7209557306593e-12,0
-0.001285,3.44905275486629e-12,0
-0.0012825,2.87921838626233e-12,0
-0.00128,1.50447913017326e-12,0
-0.0012775,3.52363741033451e-13,0
-0.001275,1.08068778839145e-13,0
-0.0012725,6.46639440837881e-13,0
-0.00127,1.30012667148857e-12,0
-0.0012675,1.50535577079656e-12,0
-0.001265,1.21554046053115e-12,0
-0.0012625,7.82441901205965e-13,0
-0.00126,5.37552996474005e-13,0
-0.0012575,5.15367604177226e-13,0
-0.001255,5.31009019085846e-13,0
-0.0012525,4.47340107873807e-13,0
-0.00125,3.25327944829162e-13,0
-0.0012475,3.33069756398326e-13,0
-0.001245,5.52851729215332e-13,0
-0.0012425,8.96808991086124e-13,0
-0.00124,1.19007766535913e-12,0
-0.0012375,1.30640876366648e-12,0
-0.001235,1.22683394288566e-12,0
