y_m,intensity_norm,target
-0.00139,3.37820030499374e-12,0
-0.0013875,4.75845458063922e-12,0
-0.001385,7.22966385893501e-12,0
-0.0013825,9.62883852819138e-12,0
-0.00138,1.04291808601763e-11,0
-0.0013775,9.05352795243053e-12,0
-0.001375,6.44967925765932e-12,0
-0.0013725,4.35732316009434e-12,0
-0.00137,3.88696321686465e-12,0
-0.0013675,4.67476344363519e-12,0
-0.001365,5.35915445575377e-12,0
-0.0013625,4.91267864031016e-12,0
-0.00136,3.5819499811205e-12,0
-0.0013575,2.57273254645801e-12,0
-0.001355,2.81032170315433e-12,0
-0.0013525,3.98613618002051e-12,0
-0.00135,4.83223645355904e-12,0
-0.0013475,4.38808442846869e-12,0
-0.001345,3.04570847982781e-12,0
-0.0013425,2.31980988398416e-12,0
-0.00134,3.46834247631165e-12,0
-0.0013375,6.20018708590395e-12,0
-0.001335,8.69906415294764e-12,0
-0.0013325,9.03690190585891e-12,0
-0.00133,6.78324397267373e-12,0
-0.0013275,3.4005303805534e-12,0
-0.001325,1.06354675879379e-12,0
-0.0013225,9.20211557335277e-13,0
-0.00132,2.2843353117244e-12,0
-0.0013175,3.40471909175365e-12,0
-0.001315,3.06390376604921e-12,0
-0.0013125,1.57271745495279e-12,0
-0.00131,3.3259054685129e-13,0
-0.0013075,4.51460069877286e-13,0
-0.001305,1.72024199806551e-12,0
-0.0013025,2.86810476392495e-12,0
-0.0013,2.81257762996675e-12,0
-0.0012975,1.71959346882212e-12,0
-0.001295,8.91710416906709e-13,0
-0.0012925,1.58909394217165e-12,0
-0.00129,3.85047176459384e-12,0
-0.0012875,6.3627591804131e-12,0
-0.001285,7.48188200113134e-12,0
-0.0012825,6.50861904928347e-12,0
-0.00128,4.14983850018095e-12,0
-0.0012775,1.85022116781949e-12,0
-0.001275,6.46628060702108e-13,0
-0.0012725,5.26711289156691e-13,0
-0.00127,7.37302210547704e-13,0
-0.0012675,6.31357679579639e-13,0
-0.001265,2.38701609994413e-13,0
-0.0012625,9.81249620808908e-14,0
-0.00126,6.05870811362574e-13,0
-0.0012575,1.54562326947209e-12,0
-0.001255,2.23571602129402e-12,0
-0.0012525,2.12864712384677e-12,0
-0.00125,1.29679674667521e-12,0
-0.0012475,3.74118020660189e-13,0
-0.001245,2.75037148447394e-14,0
-0.0012425,4.29863675106538e-13,0
-0.00124,1.167528464073e-12,0
-0.0012375,1.61718079013882e-12,0
-0.001235,1.44482464161087e-12,0
-0.0012325,8.23546774717372e-13,0
-0.00123,2.38360448162644e-13,0
-0.0012275,8.18530808016896e-14,0
-0.001225,3.7317429417771e-13,0
-0.0012225,7.92085293698644e-13,0
-0.00122,9.60982192556435e-13,0
-0.0012175,7.38302666081462e-13,0
-0.001215,3.08631364612945e-13,0
-0.0012125,2.140105264296e-14,0
-0.00121,1.11729505993154e-13,0
-0.0012075,5.152835177646e-13,0
-0.001205,9.18360816635677e-13,0
-0.0012025,1.00992478996565e-12,0
-0.0012,7.40940786737382e-13,0
-0.0011975,3.73508982403846e-13,0
-0.001195,2.58894351381925e-13,0
-0.0011925,5.16555710862975e-13,0
-0.00119,9.00206162282755e-13,0
-0.0011875,1.00321768639489e-12,0
-0.001185,6.54430681545027e-13,0
-0.0011825,1.46236063208671e-13,0
-0.00118,4.04742185688578e-14,0
-0.0011775,6.67875948215105e-13,0
-0.001175,1.75505250959724e-12,0
-0.0011725,2.55860829809674e-12,0
-0.00117,2.45528665019619e-12,0
-0.0011675,1.49668614660158e-12,0
-0.001165,4.13266289688887e-13,0
-0.0011625,1.76242867626021e-14,0
-0.00116,5.15208339790849e-13,0
-0.0011575,1.35331391321161e-12,0
-0.001155,1.77029888205684e-12,0
-0.0011525,1.55116208499711e-12,0
-0.00115,1.2717785691809e-12,0
-0.0011475,1.76726237749559e-12,0
-0.001145,3.29396312483074e-12,0
-0.0011425,5.17543050880552e-12,0
-0.00114,6.29854118137389e-12,0
-0.0011375,6.03311971498582e-12,0
-0.001135,4.73936140175265e-12,0
-0.0011325,3.4096328663626e-12,0
-0.00113,2.81061410972401e-12,0
-0.0011275,2.95288066777943e-12,0
-0.001125,3.35744656623595e-12,0
-0.0011225,3.76262618203674e-12,0
-0.00112,4.45868636739015e-12,0
-0.0011175,5.84234659165469e-12,0
-0.001115,7.66196684956603e-12,0
-0.0011125,8.85959869303072e-12,0
-0.00111,8.38365380526647e-12,0
-0.0011075,6.30606547052503e-12,0
-0.001105,4.09005249236477e-12,0
-0.0011025,3.52622154317354e-12,0
-0.0011,5.14975469893262e-12,0
-0.0010975,7.61203438528559e-12,0
-0.001095,8.74107140632379e-12,0
-0.0010925,7.45699113284441e-12,0
-0.00109,4.78909070788228e-12,0
