input,pupil_diameter_mm,z_m,pupil_power_loss_percent,focal_power_transmission_percent,no_pupil_center_ratio,clipped_center_ratio,center_ratio_change,no_pupil_middle_over_sides,clipped_middle_over_sides,middle_over_sides_change,no_pupil_core_rms_fraction,clipped_core_rms_fraction,core_rms_fraction_change,footprint_iou_clipped_vs_no_pupil,normalized_relative_l2_in_roi,normalized_peak_abs_difference_in_roi
measured_G_full_frame,14.0,0.5,0.06727116861762195,99.93272883138236,0.9848934046103465,0.9839422078331924,-0.0009511967771540508,0.9772681104284344,0.9770219594751485,-0.0002461509532859507,0.06422032753845984,0.06349503178077187,-0.0007252957576879687,1.0,0.01960490119449628,0.08295367672190745
measured_G_full_frame,13.0,0.5,0.08073297914031885,99.91926702085968,0.9848934046103465,0.9837780696232766,-0.0011153349870698381,0.9772681104284344,0.9768927565717128,-0.00037535385672160526,0.06422032753845984,0.06443969748728293,0.00021936994882308658,1.0,0.020980393020616397,0.08828740388985756
measured_G_full_frame,14.0,0.6000000000000001,0.06865039061869638,99.9313496093813,0.9848934108903258,0.9839792094325165,-0.0009142014578092938,0.9772680930513115,0.9770222555186484,-0.0002458375326630513,0.06422033259420751,0.0635370275438342,-0.0006833050503733118,1.0,0.019644010330118464,0.08290007172018221
measured_G_full_frame,13.0,0.6000000000000001,0.08540960099893136,99.91459039900107,0.9848934108903258,0.9834005647995937,-0.0014928460907320806,0.9772680930513115,0.9767887112873654,-0.0004793817639460185,0.06422033259420751,0.06452513621695986,0.00030480362275235595,1.0,0.02126140599904522,0.08788189509655409
measured_G_full_frame,14.0,0.7000000000000001,0.07058569541855686,99.92941430458144,0.9848934851983103,0.9840082834344342,-0.0008852017638760756,0.9772681266099574,0.977011419542147,-0.0002567070678104466,0.06422032929701717,0.06353032576208381,-0.0006900035349333561,0.9991617770326907,0.019684878823559387,0.0829551126278476
measured_G_full_frame,13.0,0.7000000000000001,0.0916132251741697,99.90838677482584,0.9848934851983103,0.9829987591830267,-0.001894726015283621,0.9772681266099574,0.9767804127475915,-0.00048771386236590164,0.06422032929701717,0.06465770413399897,0.00043737483698180757,1.0,0.021543238989369745,0.08521638021631528
measured_G_full_frame,14.0,0.8,0.07306962270757777,99.92693037729242,0.9848934412644297,0.9839317305144462,-0.0009617107499835242,0.9772681180749618,0.9769259681975239,-0.00034214987743796943,0.06422032923186512,0.06366839978208602,-0.0005519294497790955,0.9991617770326907,0.01966768741021122,0.08440628579106191
measured_G_full_frame,13.0,0.8,0.09931044954047952,99.90068955045952,0.9848934412644297,0.9824356907910055,-0.002457750473424225,0.9772681180749618,0.9766184185150404,-0.0006496995599214461,0.06422032923186512,0.06480196384813026,0.0005816346162651476,1.0,0.02182108788050288,0.0848266908966755
measured_G_full_frame,14.0,0.9,0.07601539803683277,99.92398460196316,0.9848934159246995,0.9839353071889757,-0.0009581087357237728,0.9772681097740249,0.9769739683155313,-0.00029414145849360196,0.0642203276319681,0.06374325737310509,-0.00047707025886301047,0.9991617770326907,0.019653809218518167,0.0844167160663194
measured_G_full_frame,13.0,0.9,0.10849581220131466,99.89150418779869,0.9848934159246995,0.9819176498769079,-0.002975766047791595,0.9772681097740249,0.9767372769563365,-0.0005308328176883981,0.0642203276319681,0.06513962683082826,0.0009192991988601629,0.9991617770326907,0.02217068398591936,0.08394768719044365
measured_G_full_frame,14.0,1.0,0.0800840383886392,99.91991596161135,0.9848934771644834,0.9838969500870046,-0.0009965270774787705,0.9772681253213226,0.9768760182316343,-0.0003921070896882872,0.06422032209455332,0.06385826865908346,-0.0003620534354698557,1.0,0.019810931563376755,0.08304889813633376
measured_G_full_frame,13.0,1.0,0.11998873736692728,99.88001126263308,0.9848934771644834,0.9813264553960415,-0.0035670217684419248,0.9772681253213226,0.9767431439659592,-0.0005249813553633853,0.06422032209455332,0.06557384513952957,0.0013535230449762542,0.9991617770326907,0.022825380825067153,0.08378392173091831
