rank,score,name,defocus_waves,astigmatism_waves,spherical_waves,center_ratio,middle_over_sides,core_rms_fraction,profile_rmse_x,profile_rmse_y
127,21.413245221456812,D-0.20_A+0.60_S-0.20waves,-0.2,0.6,-0.2,1.5309308955447036,0.882873266037172,0.6289209852757085,0.7568328556251752,0.6190251210326364
128,21.60522475481874,D+0.60_A+0.60_S+0.20waves,0.6,0.6,0.19999999999999996,1.5468937193699257,1.2352496797055033,0.2329096679230702,0.44139680469340253,0.5455715179624744
129,21.88317331015078,D+0.00_A+0.20_S+0.00waves,0.0,0.19999999999999996,0.0,1.5715327598979836,1.065079396851554,0.4895786102993914,0.7550762381478594,0.5851947866077104
130,21.99414522519318,D+0.20_A-0.60_S-0.20waves,0.19999999999999996,-0.6,-0.2,0.5391092348423924,1.4518741154637713,0.998850430819606,0.5336132903320508,0.6841281709133
131,22.475919162459498,D+0.20_A-0.60_S+0.60waves,0.19999999999999996,-0.6,0.6,1.2288537257397365,1.657164378940941,0.34172146140488147,0.33960976296727474,0.3984403400952182
132,22.519439384275934,D+0.20_A+0.40_S+0.60waves,0.19999999999999996,0.3999999999999999,0.6,1.4955395541757284,1.4037158359833555,0.2526039573273666,0.46201694295951357,0.5221586637544958
133,22.67697344238927,D-0.40_A+0.40_S-0.20waves,-0.4,0.3999999999999999,-0.2,1.514842914871709,0.9398476688881863,0.7446779398697195,1.1125454881941184,0.6162102473390944
134,22.79894902085043,D+0.00_A+0.20_S+0.60waves,0.0,0.19999999999999996,0.6,1.430644944633364,1.504925640847888,0.27601579880380217,0.4839696625722046,0.4540060430802564
135,22.95398246466277,D+0.00_A-0.40_S+0.60waves,0.0,-0.4,0.6,1.1302866412773611,1.725081610800389,0.3922160248137545,0.30706982584152287,0.4158155403670481
136,23.354455997271202,D-0.20_A+0.00_S+0.20waves,-0.2,0.0,0.19999999999999996,1.603250274944562,1.2518066877297398,0.3300633556259632,0.6813604509377053,0.5581778100145358
137,23.35461221892837,D+0.00_A+0.00_S-0.20waves,0.0,0.0,-0.2,1.3893372030879003,0.922742212231591,0.9266817966874082,1.59237505573053,0.525420773594639
138,23.38310953217649,D-0.60_A+0.40_S+0.00waves,-0.6,0.3999999999999999,0.0,1.6096301986749468,0.974858466988919,0.6122484870244794,0.9080026056635064,0.6206868748408653
139,23.389150669016026,D+0.00_A+0.20_S+0.20waves,0.0,0.19999999999999996,0.19999999999999996,1.6150667774911887,1.229850112063812,0.3199742690336073,0.6636723563396888,0.5651466490156735
140,23.981586149454696,D+0.20_A+0.60_S-0.60waves,0.19999999999999996,0.6,-0.6,1.5422002043157572,0.8617405196115241,0.8074108087295565,1.148093135819225,0.7071143440855444
141,24.129349526375908,D+0.40_A+0.60_S+0.60waves,0.3999999999999999,0.6,0.6,1.593384649990493,1.3658983325696619,0.26445303524885944,0.4701387528049892,0.5910259738392435
142,24.215598775715193,D-0.20_A-0.20_S+0.60waves,-0.2,-0.2,0.6,1.2665620175703836,1.7101644370967197,0.36909716243422475,0.39075784389037105,0.4726073762100148
143,24.26098345541291,D+0.20_A+0.40_S+0.40waves,0.19999999999999996,0.3999999999999999,0.3999999999999999,1.5955407385672704,1.3658928069213787,0.28922140207761565,0.5988079300233304,0.5417078591732414
144,24.261590370499754,D-0.40_A+0.60_S-0.40waves,-0.4,0.6,-0.4,1.5872414934811983,0.8561241333228357,0.7375089257057024,1.1854760992459863,0.6046749608990266
145,24.40461792897498,D+0.00_A-0.60_S+0.40waves,0.0,-0.6,0.3999999999999999,1.0943011238899696,1.7942595846553968,0.45722174315665837,0.30391011977419047,0.42751697485010576
146,24.514774463659442,D-0.20_A-0.40_S+0.40waves,-0.2,-0.4,0.3999999999999999,1.0888086660219911,1.7963066940530346,0.4715752102188982,0.34334197865032107,0.4696621169214814
147,24.73818769062469,D-0.40_A+0.60_S+0.00waves,-0.4,0.6,0.0,1.6681831488599117,1.0732139618910448,0.5774381543393834,0.8317103052869338,0.6541453874666981
148,24.855248451996648,D-0.20_A+0.00_S+0.40waves,-0.2,0.0,0.3999999999999999,1.6001022878936457,1.404564568437005,0.2964078092206631,0.6096006482513131,0.5441249878905406
149,24.86881061874621,D+0.00_A+0.20_S+0.40waves,0.0,0.19999999999999996,0.3999999999999999,1.6257139189593277,1.3623794024717821,0.27742433277695977,0.5926474889526214,0.5616733992245171
150,25.1107191970432,D+0.40_A+0.00_S-0.60waves,0.3999999999999999,0.0,-0.6,1.5302133585487099,1.019900710859247,0.8706819115248008,1.48348876677106,0.5108967813828531
151,25.187615509431232,D+0.20_A+0.00_S-0.40waves,0.19999999999999996,0.0,-0.4,1.4945828187003136,0.9824209243389966,0.9205705908802224,1.583099645534997,0.5584162802796
152,25.514753088564614,D+0.20_A+0.40_S+0.20waves,0.19999999999999996,0.3999999999999999,0.19999999999999996,1.6770434499126552,1.2984871267761464,0.3412775948737786,0.687791187948386,0.6061227697126504
153,25.69580487178311,D+0.40_A+0.40_S-0.20waves,0.3999999999999999,0.3999999999999999,-0.2,1.6992533346284622,1.0838831874068626,0.5898906861309289,0.9156253432863596,0.6661223459183006
154,26.010998843930604,D-0.20_A+0.00_S+0.60waves,-0.2,0.0,0.6,1.5575820870214931,1.5494009006507474,0.3065763669275126,0.5246742583790104,0.5574466823631236
155,26.13672206600927,D+0.20_A+0.40_S+0.00waves,0.19999999999999996,0.3999999999999999,0.0,1.7320454342800462,1.1388110971879801,0.4979185052024742,0.7901420547504426,0.6783891195386966
156,26.165578642888775,D-0.40_A+0.40_S-0.60waves,-0.4,0.3999999999999999,-0.6,1.2655993343897705,1.4432254305928858,0.9926069516408448,1.6173526469513926,0.49351082442276095
157,26.335699482889567,D-0.60_A+0.60_S-0.60waves,-0.6,0.6,-0.6,1.4301559147649263,1.40256770733733,0.8867062004244323,1.404543864973748,0.5867739474377349
158,27.263976307264546,D+0.40_A+0.60_S+0.40waves,0.3999999999999999,0.6,0.3999999999999999,1.760010011054953,1.2942433673451104,0.3029585124958998,0.6071848494670968,0.6643013047848464
159,27.999506949642015,D+0.00_A-0.60_S+0.60waves,0.0,-0.6,0.6,1.2301599475088798,1.8981369171433575,0.43078090316053325,0.3706023140534407,0.46256104501778417
160,28.083024125407015,D+0.00_A-0.40_S-0.20waves,0.0,-0.4,-0.2,0.9960168627913843,1.8444598745257752,0.9058270984803313,0.6808664800298417,0.34871810069838166
161,28.28778824881636,D+0.00_A+0.60_S-0.40waves,0.0,0.6,-0.4,1.7771283875909905,0.8878938579918827,0.7469304784754466,1.0169705072143793,0.7646160713984407
162,28.482993874341673,D+0.40_A+0.60_S+0.00waves,0.3999999999999999,0.6,0.0,1.8009045492672506,1.228331434321401,0.519372385671817,0.8434321205407749,0.7177595065793866
163,28.609847416257324,D+0.60_A-0.40_S-0.60waves,0.6,-0.4,-0.6,1.7590088067741987,1.1113250674105475,0.8313740527378726,0.6771889724982583,0.7888366642873434
164,28.850328452633608,D-0.60_A+0.40_S-0.20waves,-0.6,0.3999999999999999,-0.2,1.75228448206005,1.0394106704859287,0.8230387055627681,1.2458576957116514,0.6858542708795439
165,28.881811014346496,D-0.20_A-0.40_S+0.60waves,-0.2,-0.4,0.6,1.1915312458228478,1.9482200252816864,0.46270270330379176,0.37218494597477153,0.5100486059063192
166,28.902761302172,D+0.40_A+0.20_S-0.60waves,0.3999999999999999,0.19999999999999996,-0.6,1.6605093398237416,0.894018205487662,0.957367446314622,1.6043835101231156,0.810565767167818
167,29.39676442799613,D+0.40_A+0.60_S+0.20waves,0.3999999999999999,0.6,0.19999999999999996,1.8546801091375804,1.266478530167699,0.3545104470839331,0.7082878917615434,0.7073315778239527
