rank_envelope,name,z40_rms_waves,z20_rms_waves,envelope_score,footprint_iou,inside_fill_fraction,outside_fraction,outer_band_rmse,rectangle_accepted,center_ratio,middle_over_sides,core_rms_fraction,hole_target_score,size50_x_um,size50_y_um
109,Z40-9.000_Z20-3.750_rmswaves,-9.0,-3.75,27.29372721541455,0.45085455179630274,0.7886516168395363,0.4884843688167788,0.5780617932727901,False,0.899455826835867,1.0925627115507366,0.5879483688178756,8.899285773752684,198.60496241206744,123.71421181320918
110,Z40+12.000_Z20-1.500_rmswaves,12.0,-1.5,27.29856706026402,0.4334729702772791,0.7993898718730934,0.5109369167599851,0.508926390733182,False,0.7981665869957628,0.9934338195792277,0.5487398737221792,6.460568449448365,13.247430459059416,136.58017049286423
111,Z40-12.000_Z20+0.375_rmswaves,-12.0,0.375,27.304790632985824,0.44397768748708766,0.786699206833435,0.49652479500195235,0.5437695561667857,False,0.9467255644707296,1.0686068759371408,0.5901514399888467,9.119469255177723,111.9024211313334,131.70950887461566
112,Z40-12.000_Z20+4.875_rmswaves,-12.0,4.875,27.35037709116189,0.4265325981187155,0.8037827943868212,0.5236132205105952,0.4818974061099122,False,1.23979239089861,0.9059948523089897,0.5679323980786217,13.277683616060385,232.8044640539154,36.01027040796285
113,Z40+6.000_Z20-1.500_rmswaves,6.0,-1.5,27.382676151188477,0.42119781769141174,0.8423428920073215,0.5404433792690234,0.5023638603242995,False,0.8448993437872931,0.9035311328094867,0.5228404607308875,5.741142547896679,20.26229642089946,98.72458074401104
114,Z40-6.000_Z20-4.500_rmswaves,-6.0,-4.5,27.4012400793183,0.44243980292831864,0.7785234899328859,0.4946134347275032,0.541333301111226,False,0.8576281131607342,1.0138996924457362,0.6183003378622447,8.187307322047605,nan,nan
115,Z40-3.000_Z20-2.625_rmswaves,-3.0,-2.625,27.423369919108985,0.436917298276209,0.797803538743136,0.5069381598793363,0.537854353417405,False,0.9883305203679896,1.1999701849991686,0.6242484329306461,11.906761914799423,nan,nan
116,Z40+6.000_Z20-0.375_rmswaves,6.0,-0.375,27.48888610168436,0.4216927586852118,0.8289200732153752,0.53571184471328,0.5035569510109014,False,0.8050683471681724,0.9071538614325582,0.5150329728655745,5.362381749012462,117.9488155963176,119.77181262588773
117,Z40-6.000_Z20+0.750_rmswaves,-6.0,0.75,27.545313698905574,0.42813475132140355,0.8242830994508847,0.5263969711841828,0.5366710902329326,False,0.9922873020807177,0.9494252746684311,0.5516382828110035,8.24122764957522,64.57535414246414,16.552929596336426
118,Z40+6.000_Z20-3.000_rmswaves,6.0,-3.0,27.56832934627287,0.4173490118820415,0.8276998169615619,0.5435089844538663,0.48653280596041193,False,1.2258274870089143,0.8817176485739391,0.5417857699417281,12.729285960884642,40.04386322712638,106.52168183290756
119,Z40-9.000_Z20+1.125_rmswaves,-9.0,1.125,27.612199691923124,0.4159223800038553,0.7937766931055522,0.5311035824983782,0.4552407689531021,False,1.3177449996204584,0.9901306457646598,0.5919943734303669,15.398827298671545,34.76053354717162,114.2197354079768
120,Z40-3.000_Z20-1.500_rmswaves,-3.0,-1.5,27.635965751219114,0.4242082199057168,0.7835265405735204,0.5167456912771883,0.48911182380794266,False,1.237813449391936,1.1779914669262115,0.5399427797083634,14.73956325153376,68.47986819460391,48.85224103209586
121,Z40+3.000_Z20+1.125_rmswaves,3.0,1.125,27.694098232851932,0.4239576105468996,0.8215985356924954,0.532787454028173,0.5283812420794144,False,1.2121490678770908,0.8889033165781306,0.5892603127680125,12.895171401136126,25.273135019458866,310.04574196152294
122,Z40-3.000_Z20-5.625_rmswaves,-3.0,-5.625,27.765142188477107,0.4388796410219295,0.7399633923123856,0.48250554702167603,0.5346427536191057,False,0.7225794368601359,0.8538692441581869,0.8321670778113006,11.763996516440708,nan,nan
123,Z40-6.000_Z20-4.125_rmswaves,-6.0,-4.125,27.776263630849225,0.43210396909027043,0.7544844417327639,0.4941503722490387,0.5199646471983059,False,1.131527682138446,0.9580238330515982,0.6082263977028809,11.559877040890997,22.28034954163069,79.66238698574938
124,Z40-12.000_Z20-3.750_rmswaves,-12.0,-3.75,27.8481788310103,0.44370860927152317,0.7603416717510677,0.485509041367352,0.5851562331113793,False,0.8582906414768082,1.073016454173342,0.6086885147762701,8.662934081387776,198.34006622998288,119.50469573112909
125,Z40-12.000_Z20+1.125_rmswaves,-12.0,1.125,27.87160446909915,0.4203089056851791,0.7842586943258084,0.522049527775712,0.49883300317258006,False,1.3282483321522691,0.952905573352582,0.6499013361590044,16.065615407713782,33.71650417428269,213.20607530609368
