rank,score,family,name,center_window_over_core_mean,middle_third_over_side_thirds,core_rms_fraction,top_over_bottom,left_over_right,profile_rmse_x,profile_rmse_y,params_json
191,6.98579775263309,elliptical_input_dip,elliptical_dip_d0.500_sx1.000_sy1.500mm,0.6657826816190334,0.6535274834909834,0.2538056261667941,1.0000000093424086,0.9999999825036994,0.14221861436533595,0.26995497782404115,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.5, ""amplitude_dip_sigma_x_mm"": 1.0, ""amplitude_dip_sigma_y_mm"": 1.5}"
192,7.036258667170875,elliptical_input_dip,elliptical_dip_d0.400_sx1.000_sy2.400mm,0.6573053940079828,0.6545285927979534,0.24592596791877025,1.0000000084516603,0.9999999863427725,0.15694059367875945,0.2540139823842644,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.4, ""amplitude_dip_sigma_x_mm"": 1.0, ""amplitude_dip_sigma_y_mm"": 2.4}"
193,7.043191987367983,elliptical_input_dip,elliptical_dip_d0.700_sx2.000_sy1.500mm,0.6205999582289807,0.6801704622453317,0.3056248701598924,1.0000000224400394,0.9999999878301964,0.1398913506308699,0.26755387716025636,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.7000000000000001, ""amplitude_dip_sigma_x_mm"": 2.0, ""amplitude_dip_sigma_y_mm"": 1.5}"
194,7.186938816824271,elliptical_input_dip,elliptical_dip_d0.700_sx3.000_sy2.400mm,0.5725994538050524,0.7137453246460252,0.31151207085493515,1.0000000154683515,0.9999999889884613,0.1814688899327771,0.22152425414014823,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.7000000000000001, ""amplitude_dip_sigma_x_mm"": 3.0, ""amplitude_dip_sigma_y_mm"": 2.4}"
195,7.278337627504392,elliptical_input_dip,elliptical_dip_d0.900_sx4.000_sy1.800mm,0.5673638786044174,0.7827038782140128,0.4281730078717973,1.000000047955418,0.9999999973608646,0.2266233250728331,0.2638344120052375,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.9, ""amplitude_dip_sigma_x_mm"": 4.0, ""amplitude_dip_sigma_y_mm"": 1.8}"
196,7.357192792288892,elliptical_input_dip,elliptical_dip_d0.500_sx1.500_sy2.100mm,0.6252281710187395,0.6565006028117303,0.2692844959845352,1.0000000047000355,0.9999999803041355,0.14625449555351494,0.2502044321415992,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.5, ""amplitude_dip_sigma_x_mm"": 1.5, ""amplitude_dip_sigma_y_mm"": 2.1}"
197,7.384770972072426,elliptical_input_dip,elliptical_dip_d0.600_sx1.500_sy1.500mm,0.6301006130725579,0.6546513138981773,0.28281429940836256,1.000000008944776,0.9999999802124363,0.14016353565265963,0.2730311214387205,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.6000000000000001, ""amplitude_dip_sigma_x_mm"": 1.5, ""amplitude_dip_sigma_y_mm"": 1.5}"
198,7.55138039072244,elliptical_input_dip,elliptical_dip_d0.800_sx3.000_sy1.800mm,0.5621742999272664,0.7214409343695233,0.36031536178787194,1.0000000315929558,0.9999999815906062,0.19931812490150833,0.25753148277398197,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.8, ""amplitude_dip_sigma_x_mm"": 3.0, ""amplitude_dip_sigma_y_mm"": 1.8}"
199,7.685495858743958,elliptical_input_dip,elliptical_dip_d0.600_sx2.000_sy2.100mm,0.5934745847357779,0.6644093564413581,0.2958546475451276,1.0000000140037655,0.9999999851086256,0.1543353163419989,0.24885997719459949,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.6000000000000001, ""amplitude_dip_sigma_x_mm"": 2.0, ""amplitude_dip_sigma_y_mm"": 2.1}"
200,7.713619340787109,elliptical_input_dip,elliptical_dip_d0.400_sx1.000_sy3.000mm,0.6446429649366568,0.631423076626043,0.2632136082072987,0.9999999936853456,0.9999999880524705,0.17003460854870062,0.2723186779641721,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.4, ""amplitude_dip_sigma_x_mm"": 1.0, ""amplitude_dip_sigma_y_mm"": 3.0}"
201,7.792798950943278,elliptical_input_dip,elliptical_dip_d0.900_sx6.000_sy2.100mm,0.533814186669554,0.8625679562257389,0.46256472101898816,1.0000000551128168,1.0000000002011877,0.28376399315178624,0.23052571502677432,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.9, ""amplitude_dip_sigma_x_mm"": 6.0, ""amplitude_dip_sigma_y_mm"": 2.1}"
202,7.818695464395479,elliptical_input_dip,elliptical_dip_d0.800_sx4.000_sy2.400mm,0.5266895855936652,0.755185878742877,0.36501253848308784,1.000000040185846,0.9999999921932197,0.24431785638151238,0.22860179912455802,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.8, ""amplitude_dip_sigma_x_mm"": 4.0, ""amplitude_dip_sigma_y_mm"": 2.4}"
203,7.984134487998643,elliptical_input_dip,elliptical_dip_d0.700_sx3.000_sy3.000mm,0.5679755332232275,0.6745672324998648,0.32335677745638747,1.0000000159700748,0.9999999834125618,0.17730386595304207,0.23901937056097522,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.7000000000000001, ""amplitude_dip_sigma_x_mm"": 3.0, ""amplitude_dip_sigma_y_mm"": 3.0}"
204,7.990924503347032,elliptical_input_dip,elliptical_dip_d0.500_sx1.500_sy2.400mm,0.6123092541378314,0.6360176847857444,0.2842844191154266,1.000000006797093,0.9999999883853701,0.1562090045771546,0.26433243552062347,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.5, ""amplitude_dip_sigma_x_mm"": 1.5, ""amplitude_dip_sigma_y_mm"": 2.4}"
205,8.1902301313445,elliptical_input_dip,elliptical_dip_d0.800_sx1.500_sy1.200mm,0.664320086197166,0.614872375548399,0.33908239639104737,1.0000000143396734,0.9999999849411241,0.1315785321382872,0.352773632629973,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.8, ""amplitude_dip_sigma_x_mm"": 1.5, ""amplitude_dip_sigma_y_mm"": 1.2}"
206,8.198271093227252,elliptical_input_dip,elliptical_dip_d0.900_sx2.500_sy1.500mm,0.6023995108798211,0.667096560540641,0.40350700885735924,1.0000000350512708,0.9999999869344961,0.1629554126197199,0.3332602390465225,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.9, ""amplitude_dip_sigma_x_mm"": 2.5, ""amplitude_dip_sigma_y_mm"": 1.5}"
207,8.316755932428592,elliptical_input_dip,elliptical_dip_d0.700_sx2.500_sy2.100mm,0.5537109614069756,0.672618538693447,0.3316408166383721,1.0000000194057217,0.9999999830923783,0.18627441690884075,0.25818282206533844,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.7000000000000001, ""amplitude_dip_sigma_x_mm"": 2.5, ""amplitude_dip_sigma_y_mm"": 2.1}"
208,8.392525440839378,elliptical_input_dip,elliptical_dip_d0.500_sx1.000_sy1.800mm,0.6166466395241897,0.6165453602313673,0.28247007859869455,1.0000000101157074,0.9999999794515908,0.1658098195949543,0.29400560122567376,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.5, ""amplitude_dip_sigma_x_mm"": 1.0, ""amplitude_dip_sigma_y_mm"": 1.8}"
209,8.440671362836868,elliptical_input_dip,elliptical_dip_d0.600_sx2.000_sy2.400mm,0.5787588709647304,0.6398942188065013,0.3122220578024233,1.0000000087570884,0.99999998742712,0.163925203352851,0.2641822839141703,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.6000000000000001, ""amplitude_dip_sigma_x_mm"": 2.0, ""amplitude_dip_sigma_y_mm"": 2.4}"
